,Lon_N,Lat_N,Lon_S,Lat_S
152,146.586,74.2032,289.244,-80.2778
153,146.587,74.2233,289.126,-80.2917
154,146.588,74.2435,289.007,-80.3056
155,146.589,74.2636,288.888,-80.3195
156,146.59,74.2837,288.769,-80.3334
157,146.59,74.3037,288.65,-80.3472
158,146.591,74.3237,288.531,-80.3611
159,146.592,74.3437,288.412,-80.375
160,146.592,74.3637,288.292,-80.3889
161,146.593,74.3836,288.173,-80.4028
162,146.593,74.4035,288.053,-80.4166
163,146.593,74.4234,287.933,-80.4305
164,146.594,74.4432,287.813,-80.4444
165,146.594,74.463,287.692,-80.4583
166,146.594,74.4828,287.572,-80.4722
167,146.594,74.5026,287.451,-80.4861
168,146.594,74.5223,287.33,-80.5
169,146.594,74.542,287.209,-80.5139
170,146.594,74.5616,287.088,-80.5278
171,146.594,74.5813,286.967,-80.5417
172,146.593,74.6009,286.845,-80.5556
173,146.593,74.6205,286.723,-80.5695
174,146.592,74.64,286.602,-80.5834
175,146.592,74.6595,286.48,-80.5973
176,146.591,74.679,286.357,-80.6112
177,146.591,74.6985,286.235,-80.6251
178,146.59,74.718,286.113,-80.639
179,146.589,74.7374,285.99,-80.6529
180,146.588,74.7568,285.867,-80.6669
181,146.587,74.7762,285.744,-80.6808
182,146.586,74.7955,285.621,-80.6947
183,146.585,74.8148,285.497,-80.7086
184,146.584,74.8341,285.374,-80.7225
185,146.582,74.8534,285.25,-80.7364
186,146.581,74.8727,285.126,-80.7503
187,146.58,74.8919,285.002,-80.7642
188,146.578,74.9111,284.878,-80.7782
189,146.576,74.9303,284.753,-80.7921
190,146.575,74.9494,284.629,-80.806
191,146.573,74.9686,284.504,-80.8199
192,146.571,74.9877,284.379,-80.8338
193,146.569,75.0068,284.254,-80.8477
194,146.567,75.0258,284.128,-80.8616
195,146.565,75.0449,284.003,-80.8756
196,146.563,75.0639,283.877,-80.8895
197,146.56,75.0829,283.751,-80.9034
198,146.558,75.1019,283.625,-80.9173
199,146.556,75.1209,283.499,-80.9312
200,146.553,75.1398,283.372,-80.9452
201,146.55,75.1588,283.246,-80.9591
202,146.548,75.1777,283.119,-80.973
203,146.545,75.1965,282.992,-80.9869
204,146.542,75.2154,282.865,-81.0008
