,Lon_N,Lat_N,Lon_S,Lat_S
152,142.3,73.7462,286.308,-79.4695
153,142.3,73.7693,286.193,-79.4849
154,142.299,73.7924,286.077,-79.5003
155,142.299,73.8155,285.962,-79.5156
156,142.298,73.8385,285.846,-79.531
157,142.297,73.8614,285.73,-79.5464
158,142.297,73.8843,285.614,-79.5618
159,142.296,73.9072,285.498,-79.5772
160,142.295,73.93,285.381,-79.5926
161,142.294,73.9528,285.265,-79.608
162,142.293,73.9756,285.148,-79.6234
163,142.292,73.9983,285.031,-79.6388
164,142.291,74.021,284.914,-79.6542
165,142.29,74.0436,284.797,-79.6695
166,142.289,74.0662,284.68,-79.6849
167,142.288,74.0888,284.562,-79.7003
168,142.286,74.1113,284.445,-79.7157
169,142.285,74.1338,284.327,-79.7311
170,142.284,74.1562,284.209,-79.7465
171,142.282,74.1786,284.091,-79.7619
172,142.28,74.201,283.973,-79.7773
173,142.279,74.2233,283.855,-79.7926
174,142.277,74.2456,283.736,-79.808
175,142.275,74.2679,283.617,-79.8234
176,142.273,74.2901,283.499,-79.8388
177,142.271,74.3123,283.38,-79.8542
178,142.269,74.3344,283.26,-79.8696
179,142.267,74.3566,283.141,-79.8849
180,142.265,74.3786,283.022,-79.9003
181,142.262,74.4007,282.902,-79.9157
182,142.26,74.4227,282.782,-79.9311
183,142.258,74.4447,282.662,-79.9464
184,142.255,74.4666,282.542,-79.9618
185,142.252,74.4885,282.422,-79.9771
186,142.25,74.5104,282.301,-79.9925
187,142.247,74.5322,282.181,-80.0079
188,142.244,74.554,282.06,-80.0232
189,142.241,74.5758,281.939,-80.0386
190,142.238,74.5975,281.818,-80.0539
191,142.235,74.6192,281.696,-80.0693
192,142.232,74.6409,281.575,-80.0846
193,142.228,74.6625,281.453,-80.1
194,142.225,74.6841,281.331,-80.1153
195,142.221,74.7057,281.209,-80.1306
196,142.218,74.7273,281.087,-80.146
197,142.214,74.7488,280.965,-80.1613
198,142.21,74.7703,280.842,-80.1766
199,142.206,74.7917,280.719,-80.1919
200,142.202,74.8131,280.597,-80.2073
201,142.198,74.8345,280.473,-80.2226
202,142.194,74.8559,280.35,-80.2379
203,142.19,74.8772,280.227,-80.2532
204,142.185,74.8986,280.103,-80.2685
205,142.181,74.9198,279.979,-80.2838
206,142.176,74.9411,279.855,-80.2991
207,142.172,74.9623,279.731,-80.3144
208,142.167,74.9835,279.607,-80.3296
209,142.162,75.0046,279.482,-80.3449
210,142.157,75.0258,279.357,-80.3602
211,142.152,75.0469,279.232,-80.3755
212,142.147,75.068,279.107,-80.3907
213,142.141,75.089,278.982,-80.406
214,142.136,75.1101,278.856,-80.4212
215,142.13,75.1311,278.731,-80.4365
216,142.125,75.1521,278.605,-80.4517
217,142.119,75.173,278.479,-80.4669
218,142.113,75.1939,278.352,-80.4822
219,142.107,75.2148,278.226,-80.4974
220,142.101,75.2357,278.099,-80.5126
221,142.095,75.2566,277.972,-80.5278
222,142.089,75.2774,277.845,-80.543
223,142.083,75.2982,277.718,-80.5582
224,142.076,75.319,277.59,-80.5734
225,142.069,75.3398,277.463,-80.5886
226,142.063,75.3605,277.335,-80.6038
227,142.056,75.3812,277.207,-80.6189
228,142.049,75.4019,277.078,-80.6341
229,142.042,75.4226,276.95,-80.6492
230,142.035,75.4432,276.821,-80.6644
231,142.027,75.4639,276.692,-80.6795
232,142.02,75.4845,276.563,-80.6946
233,142.012,75.5051,276.434,-80.7098
234,142.005,75.5256,276.304,-80.7249
235,141.997,75.5462,276.174,-80.74
236,141.989,75.5667,276.044,-80.7551
237,141.981,75.5872,275.914,-80.7702
238,141.973,75.6077,275.784,-80.7852
239,141.965,75.6281,275.653,-80.8003
240,141.956,75.6486,275.522,-80.8154
241,141.948,75.669,275.391,-80.8304
242,141.939,75.6894,275.26,-80.8455
243,141.931,75.7098,275.128,-80.8605
244,141.922,75.7302,274.997,-80.8755
245,141.913,75.7505,274.865,-80.8906
246,141.904,75.7709,274.733,-80.9056
247,141.895,75.7912,274.6,-80.9206
248,141.885,75.8115,274.468,-80.9356
249,141.876,75.8318,274.335,-80.9505
250,141.866,75.8521,274.202,-80.9655
251,141.856,75.8723,274.068,-80.9805
252,141.847,75.8926,273.935,-80.9954
253,141.837,75.9128,273.801,-81.0104
254,141.826,75.933,273.667,-81.0253
255,141.816,75.9532,273.533,-81.0402
256,141.806,75.9734,273.398,-81.0551
257,141.795,75.9935,273.264,-81.07
258,141.785,76.0137,273.129,-81.0849
259,141.774,76.0338,272.993,-81.0998
260,141.763,76.0539,272.858,-81.1147
261,141.752,76.074,272.722,-81.1295
262,141.741,76.0941,272.586,-81.1444
263,141.73,76.1142,272.45,-81.1592
264,141.718,76.1343,272.314,-81.174
265,141.707,76.1543,272.177,-81.1888
266,141.695,76.1744,272.04,-81.2036
267,141.683,76.1944,271.903,-81.2184
268,141.671,76.2145,271.766,-81.2332
269,141.659,76.2345,271.628,-81.2479
270,141.647,76.2545,271.49,-81.2626
271,141.635,76.2745,271.352,-81.2774
272,141.622,76.2944,271.214,-81.2921
273,141.61,76.3144,271.075,-81.3068
274,141.597,76.3344,270.936,-81.3215
275,141.584,76.3543,270.797,-81.3361
276,141.571,76.3743,270.658,-81.3508
277,141.558,76.3942,270.518,-81.3655
278,141.545,76.4141,270.378,-81.3802
279,141.531,76.434,270.238,-81.3948
280,141.518,76.4539,270.098,-81.4093
281,141.504,76.4738,269.957,-81.4244
282,141.491,76.4937,269.816,-81.4385
