Lon_euro,Lon_efp,Lat_efp
35.0000,32.0555,-62.5394
35.1000,32.1237,-62.5341
35.2000,32.1919,-62.5287
35.3000,32.2601,-62.5235
35.4000,32.3283,-62.5182
35.5000,32.3964,-62.5130
35.6000,32.4646,-62.5079
35.7000,32.5328,-62.5028
35.8000,32.6009,-62.4977
35.9000,32.6691,-62.4927
36.0000,32.7372,-62.4877
36.1000,32.8054,-62.4828
36.2000,32.8735,-62.4779
36.3000,32.9416,-62.4730
36.4000,33.0097,-62.4682
36.5000,33.0779,-62.4634
36.6000,33.146,-62.4587
36.7000,33.2141,-62.4540
36.8000,33.2822,-62.4494
36.9000,33.3503,-62.4447
37.0000,33.4183,-62.4402
37.1000,33.4864,-62.4356
37.2000,33.5545,-62.4311
37.3000,33.6225,-62.4267
37.4000,33.6906,-62.4223
37.5000,33.7586,-62.4179
37.6000,33.8267,-62.4136
37.7000,33.8947,-62.4093
37.8000,33.9627,-62.4050
37.9000,34.0308,-62.4008
38.0000,34.0988,-62.3966
38.1000,34.1668,-62.3925
38.2000,34.2348,-62.3884
38.3000,34.3028,-62.3843
38.4000,34.3708,-62.3803
38.5000,34.4387,-62.3763
38.6000,34.5067,-62.3723
38.7000,34.5747,-62.3684
38.8000,34.6426,-62.3645
38.9000,34.7106,-62.3607
39.0000,34.7785,-62.3569
39.1000,34.8464,-62.3531
39.2000,34.9144,-62.3494
39.3000,34.9823,-62.3457
39.4000,35.0502,-62.3420
39.5000,35.1181,-62.3384
39.6000,35.186,-62.3348
39.7000,35.2539,-62.3313
39.8000,35.3218,-62.3277
39.9000,35.3897,-62.3243
40.0000,35.4575,-62.3208
40.1000,35.5254,-62.3174
40.2000,35.5933,-62.3140
40.3000,35.6611,-62.3107
40.4000,35.7289,-62.3074
40.5000,35.7968,-62.3041
40.6000,35.8646,-62.3009
40.7000,35.9324,-62.2976
40.8000,36.0002,-62.2945
40.9000,36.068,-62.2913
41.0000,36.1358,-62.2882
41.1000,36.2036,-62.2852
41.2000,36.2714,-62.2821
41.3000,36.3391,-62.2791
41.4000,36.4069,-62.2762
41.5000,36.4747,-62.2732
41.6000,36.5424,-62.2703
41.7000,36.6101,-62.2675
41.8000,36.6779,-62.2646
41.9000,36.7456,-62.2618
42.0000,36.8133,-62.2590
42.1000,36.881,-62.2563
42.2000,36.9487,-62.2536
42.3000,37.0164,-62.2509
42.4000,37.0841,-62.2482
42.5000,37.1518,-62.2456
42.6000,37.2195,-62.2430
42.7000,37.2871,-62.2405
42.8000,37.3548,-62.2380
42.9000,37.4224,-62.2355
43.0000,37.4901,-62.2330
43.1000,37.5577,-62.2306
43.2000,37.6253,-62.2282
43.3000,37.6929,-62.2258
