Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
229.3,236.17,-75.6154,229.3,198.803,55.9449
229.4,236.302,-75.6058,229.4,198.859,55.9612
229.5,236.434,-75.5961,229.5,198.916,55.9775
229.6,236.565,-75.5864,229.6,198.973,55.9938
229.7,236.696,-75.5767,229.7,199.03,56.0101
229.8,236.827,-75.567,229.8,199.087,56.0264
229.9,236.959,-75.5572,229.9,199.143,56.0428
230,237.089,-75.5475,230,199.2,56.0592
230.1,237.22,-75.5377,230.1,199.257,56.0756
230.2,237.351,-75.5278,230.2,199.314,56.092
230.3,237.482,-75.518,230.3,199.371,56.1084
230.4,237.612,-75.5081,230.4,199.428,56.1248
230.5,237.743,-75.4982,230.5,199.485,56.1413
230.6,237.873,-75.4883,230.6,199.543,56.1578
230.7,238.003,-75.4783,230.7,199.6,56.1743
230.8,238.133,-75.4683,230.8,199.657,56.1908
230.9,238.263,-75.4583,230.9,199.714,56.2073
231,238.393,-75.4483,231,199.771,56.2239
231.1,238.523,-75.4383,231.1,199.829,56.2404
231.2,238.653,-75.4282,231.2,199.886,56.257
231.3,238.783,-75.4181,231.3,199.944,56.2736
231.4,238.912,-75.408,231.4,200.001,56.2902
231.5,239.042,-75.3978,231.5,200.058,56.3069
231.6,239.171,-75.3877,231.6,200.116,56.3235
231.7,239.3,-75.3775,231.7,200.174,56.3402
231.8,239.429,-75.3673,231.8,200.231,56.3569
231.9,239.558,-75.357,231.9,200.289,56.3736
232,239.687,-75.3468,232,200.346,56.3903
232.1,239.816,-75.3365,232.1,200.404,56.4071
232.2,239.945,-75.3262,232.2,200.462,56.4239
232.3,240.074,-75.3158,232.3,200.52,56.4406
232.4,240.202,-75.3055,232.4,200.578,56.4574
232.5,240.331,-75.2951,232.5,200.635,56.4743
232.6,240.459,-75.2847,232.6,200.693,56.4911
232.7,240.588,-75.2742,232.7,200.751,56.508
