Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
266.5,-78.8685,-70.8076,266.5,225.509,62.8952
266.6,-78.7581,-70.7934,266.6,225.606,62.9148
266.7,-78.6478,-70.7793,266.7,225.703,62.9344
266.8,-78.5375,-70.7651,266.8,225.8,62.954
266.9,-78.4273,-70.751,266.9,225.897,62.9735
267,-78.3172,-70.7369,267,225.994,62.9931
267.1,-78.2072,-70.7228,267.1,226.092,63.0127
267.2,-78.0973,-70.7087,267.2,226.19,63.0323
267.3,-77.9875,-70.6946,267.3,226.287,63.0518
267.4,-77.8778,-70.6805,267.4,226.386,63.0714
267.5,-77.7682,-70.6664,267.5,226.484,63.0909
267.6,-77.6586,-70.6523,267.6,226.582,63.1105
267.7,-77.5492,-70.6383,267.7,226.681,63.13
267.8,-77.4399,-70.6242,267.8,226.78,63.1496
267.9,-77.3306,-70.6102,267.9,226.879,63.1691
268,-77.2215,-70.5961,268,226.978,63.1886
268.1,-77.1124,-70.5821,268.1,227.077,63.2081
268.2,-77.0034,-70.5681,268.2,227.176,63.2276
268.3,-76.8945,-70.5541,268.3,227.276,63.2471
268.4,-76.7858,-70.5401,268.4,227.376,63.2666
268.5,-76.6771,-70.5261,268.5,227.476,63.2861
268.6,-76.5685,-70.5121,268.6,227.576,63.3056
268.7,-76.46,-70.4981,268.7,227.677,63.3251
268.8,-76.3516,-70.4842,268.8,227.777,63.3445
268.9,-76.2433,-70.4702,268.9,227.878,63.364
269,-76.135,-70.4563,269,227.979,63.3834
269.1,-76.0269,-70.4424,269.1,228.08,63.4029
269.2,-75.9189,-70.4284,269.2,228.181,63.4223
269.3,-75.811,-70.4145,269.3,228.282,63.4417
269.4,-75.7032,-70.4006,269.4,228.384,63.4611
269.5,-75.5955,-70.3867,269.5,228.486,63.4805
269.6,-75.4878,-70.3728,269.6,228.587,63.4999
269.7,-75.3802,-70.359,269.7,228.69,63.5193
269.8,-75.2729,-70.3451,269.8,228.792,63.5386
269.9,-75.1655,-70.3313,269.9,228.894,63.558
270,-75.0583,-70.3174,270,228.997,63.5773
270.1,-74.9512,-70.3036,270.1,229.1,63.5966
270.2,-74.8441,-70.2898,270.2,229.203,63.616
270.3,-74.7372,-70.276,270.3,229.306,63.6353
270.4,-74.6304,-70.2622,270.4,229.409,63.6546
270.5,-74.5236,-70.2484,270.5,229.512,63.6739
270.6,-74.417,-70.2346,270.6,229.616,63.6931
270.7,-74.3104,-70.2208,270.7,229.72,63.7124
270.8,-74.204,-70.2071,270.8,229.824,63.7316
270.9,-74.0977,-70.1934,270.9,229.928,63.7509
271,-73.9914,-70.1796,271,230.032,63.7701
271.1,-73.8853,-70.1659,271.1,230.137,63.7893
271.2,-73.7792,-70.1522,271.2,230.242,63.8085
271.3,-73.6733,-70.1385,271.3,230.346,63.8277
271.4,-73.5675,-70.1248,271.4,230.452,63.8468
271.5,-73.4618,-70.1111,271.5,230.557,63.866
271.6,-73.3561,-70.0975,271.6,230.662,63.8851
271.7,-73.2506,-70.0838,271.7,230.768,63.9042
271.8,-73.1452,-70.0702,271.8,230.873,63.9233
271.9,-73.0399,-70.0566,271.9,230.979,63.9424
272,-72.9347,-70.043,272,231.085,63.9615
272.1,-72.8296,-70.0294,272.1,231.192,63.9805
272.2,-72.7245,-70.0158,272.2,231.298,63.9996
272.3,-72.6197,-70.0022,272.3,231.405,64.0186
272.4,-72.5149,-69.9886,272.4,231.511,64.0376
272.5,-72.4101,-69.9751,272.5,231.618,64.0566
272.6,-72.3055,-69.9615,272.6,231.725,64.0755
272.7,-72.201,-69.948,272.7,231.833,64.0945
272.8,-72.0967,-69.9345,272.8,231.94,64.1134
272.9,-71.9924,-69.921,272.9,232.048,64.1323
273,-71.8882,-69.9075,273,232.155,64.1512
273.1,-71.7841,-69.894,273.1,232.263,64.1701
273.2,-71.6801,-69.8805,273.2,232.371,64.189
273.3,-71.5763,-69.8671,273.3,232.48,64.2078
273.4,-71.4726,-69.8537,273.4,232.588,64.2266
273.5,-71.3689,-69.8402,273.5,232.697,64.2454
273.6,-71.2653,-69.8268,273.6,232.805,64.2642
273.7,-71.1618,-69.8134,273.7,232.914,64.2829
273.8,-71.0585,-69.8,273.8,233.023,64.3016
273.9,-70.9553,-69.7866,273.9,233.133,64.3204
274,-70.8521,-69.7733,274,233.242,64.339
274.1,-70.7491,-69.7599,274.1,233.352,64.3577
274.2,-70.6462,-69.7466,274.2,233.462,64.3764
274.3,-70.5434,-69.7333,274.3,233.571,64.395
274.4,-70.4407,-69.72,274.4,233.682,64.4136
274.5,-70.3381,-69.7067,274.5,233.792,64.4321
274.6,-70.2356,-69.6934,274.6,233.902,64.4507
274.7,-70.1332,-69.6801,274.7,234.013,64.4692
274.8,-70.0309,-69.6668,274.8,234.124,64.4877
274.9,-69.9287,-69.6536,274.9,234.235,64.5062
275,-69.8267,-69.6404,275,234.346,64.5246
275.1,-69.7247,-69.6272,275.1,234.457,64.5431
275.2,-69.6228,-69.614,275.2,234.568,64.5615
275.3,-69.5211,-69.6008,275.3,234.68,64.5798
275.4,-69.4194,-69.5876,275.4,234.792,64.5982
275.5,-69.3179,-69.5744,275.5,234.903,64.6165
275.6,-69.2164,-69.5613,275.6,235.015,64.6348
275.7,-69.1151,-69.5481,275.7,235.128,64.6531
275.8,-69.0139,-69.535,275.8,235.24,64.6713
275.9,-68.9127,-69.5219,275.9,235.352,64.6895
276,-68.8117,-69.5088,276,235.465,64.7077
276.1,-68.7108,-69.4957,276.1,235.578,64.7259
276.2,-68.61,-69.4827,276.2,235.691,64.744
276.3,-68.5093,-69.4696,276.3,235.804,64.7621
276.4,-68.4088,-69.4566,276.4,235.917,64.7802
276.5,-68.3083,-69.4436,276.5,236.031,64.7982
276.6,-68.2079,-69.4305,276.6,236.145,64.8162
276.7,-68.1076,-69.4175,276.7,236.258,64.8342
276.8,-68.0074,-69.4046,276.8,236.372,64.8522
276.9,-67.9074,-69.3916,276.9,236.486,64.8701
277,-67.8074,-69.3786,277,236.6,64.888
277.1,-67.7076,-69.3657,277.1,236.715,64.9059
277.2,-67.6078,-69.3528,277.2,236.829,64.9237
277.3,-67.5082,-69.3399,277.3,236.944,64.9415
277.4,-67.4087,-69.327,277.4,237.059,64.9592
277.5,-67.3093,-69.3141,277.5,237.174,64.977
277.6,-67.21,-69.3012,277.6,237.289,64.9947
277.7,-67.1107,-69.2883,277.7,237.404,65.0124
277.8,-67.0117,-69.2755,277.8,237.52,65.03
277.9,-66.9127,-69.2627,277.9,237.635,65.0476
278,-66.8138,-69.2498,278,237.751,65.0652
278.1,-66.715,-69.237,278.1,237.867,65.0827
278.2,-66.6163,-69.2243,278.2,237.983,65.1002
278.3,-66.5177,-69.2115,278.3,238.099,65.1177
278.4,-66.4193,-69.1987,278.4,238.215,65.1351
278.5,-66.3209,-69.186,278.5,238.331,65.1525
278.6,-66.2227,-69.1733,278.6,238.448,65.1699
278.7,-66.1245,-69.1605,278.7,238.565,65.1872
278.8,-66.0264,-69.1478,278.8,238.681,65.2045
278.9,-65.9285,-69.1352,278.9,238.798,65.2218
279,-65.8306,-69.1225,279,238.915,65.239
279.1,-65.7329,-69.1098,279.1,239.033,65.2562
279.2,-65.6353,-69.0972,279.2,239.15,65.2734
279.3,-65.5378,-69.0845,279.3,239.267,65.2905
279.4,-65.4403,-69.0719,279.4,239.385,65.3076
279.5,-65.343,-69.0593,279.5,239.503,65.3246
279.6,-65.2458,-69.0467,279.6,239.621,65.3416
279.7,-65.1487,-69.0342,279.7,239.739,65.3586
279.8,-65.0517,-69.0216,279.8,239.857,65.3755
279.9,-64.9548,-69.0091,279.9,239.975,65.3924
280,-64.858,-68.9965,280,240.094,65.4092
280.1,-64.7613,-68.984,280.1,240.212,65.4261
280.2,-64.6647,-68.9715,280.2,240.331,65.4428
280.3,-64.5682,-68.959,280.3,240.449,65.4596
280.4,-64.4718,-68.9466,280.4,240.568,65.4763
280.5,-64.3755,-68.9341,280.5,240.687,65.4929
280.6,-64.2793,-68.9216,280.6,240.806,65.5096
280.7,-64.1833,-68.9092,280.7,240.926,65.5261
280.8,-64.0873,-68.8968,280.8,241.045,65.5427
280.9,-63.9915,-68.8844,280.9,241.164,65.5592
281,-63.8957,-68.872,281,241.284,65.5756
281.1,-63.8,-68.8596,281.1,241.404,65.592
281.2,-63.7044,-68.8473,281.2,241.523,65.6084
281.3,-63.609,-68.8349,281.3,241.643,65.6247
281.4,-63.5136,-68.8226,281.4,241.763,65.6411
281.5,-63.4183,-68.8103,281.5,241.883,65.6573
281.6,-63.3232,-68.798,281.6,242.004,65.6735
281.7,-63.2281,-68.7857,281.7,242.124,65.6897
281.8,-63.1331,-68.7734,281.8,242.244,65.7058
281.9,-63.0382,-68.7612,281.9,242.365,65.7219
282,-62.9435,-68.7489,282,242.486,65.738
282.1,-62.8488,-68.7367,282.1,242.606,65.754
282.2,-62.7542,-68.7245,282.2,242.727,65.7699
282.3,-62.6598,-68.7122,282.3,242.848,65.7859
282.4,-62.5654,-68.7001,282.4,242.969,65.8017
282.5,-62.4711,-68.6879,282.5,243.09,65.8176
282.6,-62.377,-68.6757,282.6,243.211,65.8334
282.7,-62.2829,-68.6636,282.7,243.333,65.8491
282.8,-62.1889,-68.6514,282.8,243.454,65.8648
282.9,-62.095,-68.6393,282.9,243.575,65.8805
283,-62.0012,-68.6272,283,243.697,65.8961
283.1,-61.9075,-68.6151,283.1,243.819,65.9116
283.2,-61.814,-68.603,283.2,243.94,65.9272
283.3,-61.7205,-68.591,283.3,244.062,65.9427
283.4,-61.6271,-68.5789,283.4,244.184,65.9581
283.5,-61.5338,-68.5669,283.5,244.306,65.9735
283.6,-61.4406,-68.5549,283.6,244.428,65.9888
283.7,-61.3475,-68.5428,283.7,244.55,66.0041
283.8,-61.2545,-68.5308,283.8,244.672,66.0194
283.9,-61.1615,-68.5189,283.9,244.795,66.0346
284,-61.0687,-68.5069,284,244.917,66.0498
284.1,-60.976,-68.4949,284.1,245.039,66.0649
284.2,-60.8833,-68.483,284.2,245.162,66.08
284.3,-60.7908,-68.4711,284.3,245.284,66.0951
284.4,-60.6983,-68.4591,284.4,245.407,66.11
284.5,-60.6059,-68.4472,284.5,245.529,66.125
284.6,-60.5137,-68.4353,284.6,245.652,66.1399
284.7,-60.4215,-68.4235,284.7,245.775,66.1547
284.8,-60.3294,-68.4116,284.8,245.898,66.1695
284.9,-60.2374,-68.3998,284.9,246.02,66.1843
285,-60.1455,-68.3879,285,246.143,66.1991
285.1,-60.0537,-68.3761,285.1,246.266,66.2137
285.2,-59.962,-68.3643,285.2,246.389,66.2283
285.3,-59.8704,-68.3525,285.3,246.512,66.2429
285.4,-59.7788,-68.3407,285.4,246.636,66.2575
285.5,-59.6874,-68.3289,285.5,246.759,66.2719
285.6,-59.596,-68.3172,285.6,246.882,66.2864
285.7,-59.5047,-68.3055,285.7,247.005,66.3008
285.8,-59.4136,-68.2937,285.8,247.128,66.3151
285.9,-59.3224,-68.282,285.9,247.252,66.3294
286,-59.2314,-68.2703,286,247.375,66.3437
286.1,-59.1405,-68.2586,286.1,247.498,66.3579
286.2,-59.0496,-68.2469,286.2,247.622,66.3721
286.3,-58.9589,-68.2353,286.3,247.745,66.3862
286.4,-58.8683,-68.2236,286.4,247.869,66.4002
286.5,-58.7776,-68.212,286.5,247.992,66.4143
286.6,-58.6872,-68.2003,286.6,248.116,66.4282
286.7,-58.5967,-68.1887,286.7,248.239,66.4422
286.8,-58.5064,-68.1771,286.8,248.363,66.456
286.9,-58.4162,-68.1655,286.9,248.486,66.4699
287,-58.326,-68.1539,287,248.61,66.4837
287.1,-58.2359,-68.1424,287.1,248.734,66.4974
287.2,-58.1459,-68.1308,287.2,248.857,66.5111
287.3,-58.0561,-68.1193,287.3,248.981,66.5248
287.4,-57.9662,-68.1078,287.4,249.104,66.5384
287.5,-57.8765,-68.0963,287.5,249.228,66.5519
287.6,-57.7868,-68.0847,287.6,249.352,66.5655
287.7,-57.6972,-68.0732,287.7,249.475,66.5789
287.8,-57.6077,-68.0618,287.8,249.599,66.5923
287.9,-57.5183,-68.0503,287.9,249.722,66.6057
288,-57.429,-68.0388,288,249.846,66.619
288.1,-57.3397,-68.0274,288.1,249.97,66.6323
288.2,-57.2505,-68.016,288.2,250.093,66.6455
288.3,-57.1614,-68.0046,288.3,250.217,66.6587
288.4,-57.0724,-67.9931,288.4,250.34,66.6718
288.5,-56.9834,-67.9818,288.5,250.464,66.6849
288.6,-56.8945,-67.9704,288.6,250.588,66.698
288.7,-56.8057,-67.959,288.7,250.711,66.711
288.8,-56.717,-67.9476,288.8,250.835,66.7239
288.9,-56.6284,-67.9363,288.9,250.958,66.7368
289,-56.5398,-67.9249,289,251.082,66.7496
289.1,-56.4513,-67.9136,289.1,251.205,66.7625
289.2,-56.3629,-67.9023,289.2,251.328,66.7753
289.3,-56.2745,-67.891,289.3,251.452,66.788
289.4,-56.1862,-67.8797,289.4,251.575,66.8006
289.5,-56.0981,-67.8684,289.5,251.698,66.8133
289.6,-56.0099,-67.8572,289.6,251.822,66.8258
289.7,-55.9218,-67.8459,289.7,251.945,66.8384
289.8,-55.8339,-67.8346,289.8,252.068,66.8509
289.9,-55.7459,-67.8234,289.9,252.191,66.8633
290,-55.6581,-67.8122,290,252.314,66.8757
290.1,-55.5703,-67.801,290.1,252.437,66.888
290.2,-55.4826,-67.7898,290.2,252.56,66.9004
290.3,-55.395,-67.7786,290.3,252.683,66.9126
290.4,-55.3074,-67.7674,290.4,252.806,66.9248
290.5,-55.2199,-67.7562,290.5,252.929,66.937
290.6,-55.1324,-67.7451,290.6,253.052,66.9491
290.7,-55.045,-67.7339,290.7,253.175,66.9612
290.8,-54.9578,-67.7228,290.8,253.297,66.9732
290.9,-54.8705,-67.7116,290.9,253.42,66.9852
291,-54.7834,-67.7005,291,253.542,66.9972
291.1,-54.6963,-67.6894,291.1,253.665,67.0091
291.2,-54.6093,-67.6783,291.2,253.787,67.0209
291.3,-54.5223,-67.6672,291.3,253.91,67.0327
291.4,-54.4353,-67.6562,291.4,254.032,67.0445
291.5,-54.3485,-67.6451,291.5,254.154,67.0562
291.6,-54.2617,-67.634,291.6,254.276,67.0679
291.7,-54.175,-67.623,291.7,254.398,67.0795
291.8,-54.0883,-67.612,291.8,254.52,67.0911
291.9,-54.0017,-67.6009,291.9,254.642,67.1027
292,-53.9152,-67.5899,292,254.764,67.1142
292.1,-53.8287,-67.5789,292.1,254.885,67.1256
292.2,-53.7422,-67.5679,292.2,255.007,67.137
292.3,-53.6559,-67.5569,292.3,255.129,67.1484
292.4,-53.5696,-67.5459,292.4,255.25,67.1597
292.5,-53.4833,-67.535,292.5,255.371,67.171
292.6,-53.3971,-67.524,292.6,255.493,67.1822
292.7,-53.311,-67.5131,292.7,255.614,67.1935
292.8,-53.2249,-67.5021,292.8,255.735,67.2046
292.9,-53.1389,-67.4912,292.9,255.856,67.2157
293,-53.0529,-67.4803,293,255.977,67.2267
293.1,-52.967,-67.4694,293.1,256.097,67.2378
293.2,-52.8812,-67.4585,293.2,256.218,67.2488
293.3,-52.7954,-67.4476,293.3,256.338,67.2597
293.4,-52.7097,-67.4367,293.4,256.459,67.2706
293.5,-52.624,-67.4258,293.5,256.579,67.2814
293.6,-52.5383,-67.4149,293.6,256.699,67.2923
293.7,-52.4527,-67.4041,293.7,256.819,67.303
293.8,-52.3672,-67.3932,293.8,256.939,67.3138
293.9,-52.2817,-67.3824,293.9,257.059,67.3244
294,-52.1962,-67.3715,294,257.179,67.3351
294.1,-52.1108,-67.3607,294.1,257.298,67.3457
294.2,-52.0255,-67.3499,294.2,257.418,67.3563
294.3,-51.9402,-67.3391,294.3,257.537,67.3668
294.4,-51.855,-67.3283,294.4,257.656,67.3773
294.5,-51.7698,-67.3175,294.5,257.775,67.3877
294.6,-51.6846,-67.3067,294.6,257.894,67.3981
294.7,-51.5995,-67.296,294.7,258.013,67.4085
294.8,-51.5145,-67.2852,294.8,258.132,67.4188
294.9,-51.4294,-67.2744,294.9,258.25,67.4291
295,-51.3445,-67.2637,295,258.368,67.4393
295.1,-51.2596,-67.2529,295.1,258.487,67.4495
295.2,-51.1747,-67.2422,295.2,258.605,67.4597
295.3,-51.0898,-67.2315,295.3,258.723,67.4698
295.4,-51.0051,-67.2208,295.4,258.841,67.4799
295.5,-50.9203,-67.2101,295.5,258.958,67.4899
295.6,-50.8356,-67.1994,295.6,259.076,67.4999
295.7,-50.7509,-67.1887,295.7,259.193,67.5099
295.8,-50.6663,-67.178,295.8,259.31,67.5199
295.9,-50.5817,-67.1673,295.9,259.427,67.5297
296,-50.4971,-67.1566,296,259.544,67.5396
296.1,-50.4126,-67.146,296.1,259.661,67.5494
296.2,-50.3281,-67.1353,296.2,259.778,67.5592
296.3,-50.2437,-67.1246,296.3,259.894,67.5689
296.4,-50.1593,-67.114,296.4,260.01,67.5786
296.5,-50.075,-67.1034,296.5,260.126,67.5883
296.6,-49.9906,-67.0927,296.6,260.242,67.5979
296.7,-49.9063,-67.0821,296.7,260.358,67.6075
296.8,-49.8221,-67.0715,296.8,260.474,67.6171
296.9,-49.7379,-67.0609,296.9,260.589,67.6266
297,-49.6537,-67.0503,297,260.704,67.636
297.1,-49.5695,-67.0397,297.1,260.82,67.6455
297.2,-49.4854,-67.0291,297.2,260.935,67.6548
297.3,-49.4013,-67.0185,297.3,261.049,67.6643
297.4,-49.3172,-67.008,297.4,261.164,67.6736
297.5,-49.2332,-66.9974,297.5,261.278,67.6829
297.6,-49.1492,-66.9868,297.6,261.393,67.6922
297.7,-49.0652,-66.9763,297.7,261.507,67.7013
297.8,-48.9813,-66.9657,297.8,261.621,67.7106
297.9,-48.8974,-66.9552,297.9,261.734,67.7197
298,-48.8135,-66.9446,298,261.848,67.7288
298.1,-48.7297,-66.9341,298.1,261.961,67.7379
298.2,-48.6458,-66.9236,298.2,262.074,67.747
298.3,-48.5621,-66.9131,298.3,262.187,67.756
298.4,-48.4783,-66.9025,298.4,262.3,67.765
298.5,-48.3946,-66.892,298.5,262.413,67.774
298.6,-48.3108,-66.8815,298.6,262.525,67.7829
298.7,-48.2271,-66.871,298.7,262.637,67.7918
298.8,-48.1435,-66.8606,298.8,262.75,67.8006
298.9,-48.0598,-66.8501,298.9,262.861,67.8094
299,-47.9762,-66.8396,299,262.973,67.8182
299.1,-47.8926,-66.8291,299.1,263.085,67.827
299.2,-47.809,-66.8186,299.2,263.196,67.8357
299.3,-47.7255,-66.8082,299.3,263.307,67.8444
299.4,-47.6419,-66.7977,299.4,263.418,67.8531
299.5,-47.5584,-66.7873,299.5,263.529,67.8617
299.6,-47.4749,-66.7768,299.6,263.639,67.8703
299.7,-47.3914,-66.7664,299.7,263.749,67.8788
299.8,-47.308,-66.756,299.8,263.86,67.8873
299.9,-47.2245,-66.7455,299.9,263.969,67.8958
300,-47.1411,-66.7351,300,264.079,67.9043
300.1,-47.0577,-66.7247,300.1,264.189,67.9128
300.2,-46.9743,-66.7143,300.2,264.298,67.9212
300.3,-46.8909,-66.7038,300.3,264.407,67.9295
300.4,-46.8076,-66.6934,300.4,264.516,67.9378
300.5,-46.7242,-66.683,300.5,264.625,67.9462
300.6,-46.6409,-66.6726,300.6,264.733,67.9545
300.7,-46.5576,-66.6623,300.7,264.842,67.9628
300.8,-46.4743,-66.6519,300.8,264.95,67.971
300.9,-46.391,-66.6415,300.9,265.058,67.9791
301,-46.3077,-66.6311,301,265.165,67.9873
301.1,-46.2245,-66.6207,301.1,265.273,67.9954
301.2,-46.1412,-66.6104,301.2,265.38,68.0036
301.3,-46.058,-66.6,301.3,265.487,68.0116
301.4,-45.9748,-66.5896,301.4,265.594,68.0197
301.5,-45.8915,-66.5793,301.5,265.701,68.0277
301.6,-45.8083,-66.5689,301.6,265.807,68.0356
301.7,-45.7252,-66.5586,301.7,265.914,68.0436
301.8,-45.642,-66.5482,301.8,266.02,68.0516
301.9,-45.5588,-66.5379,301.9,266.125,68.0596
302,-45.4756,-66.5275,302,266.231,68.0673
302.1,-45.3925,-66.5172,302.1,266.337,68.0752
302.2,-45.3093,-66.5069,302.2,266.442,68.0831
302.3,-45.2261,-66.4966,302.3,266.547,68.091
302.4,-45.143,-66.4862,302.4,266.652,68.0986
302.5,-45.0598,-66.4759,302.5,266.756,68.1062
302.6,-44.9767,-66.4656,302.6,266.861,68.1141
302.7,-44.8936,-66.4553,302.7,266.965,68.1217
302.8,-44.8104,-66.445,302.8,267.069,68.1294
302.9,-44.7273,-66.4347,302.9,267.172,68.137
303,-44.6442,-66.4244,303,267.276,68.1446
303.1,-44.5611,-66.4141,303.1,267.379,68.1522
303.2,-44.478,-66.4038,303.2,267.482,68.1598
303.3,-44.3948,-66.3935,303.3,267.585,68.1675
303.4,-44.3117,-66.3832,303.4,267.688,68.175
303.5,-44.2286,-66.3729,303.5,267.79,68.1824
303.6,-44.1455,-66.3626,303.6,267.893,68.1899
303.7,-44.0624,-66.3524,303.7,267.995,68.1973
303.8,-43.9793,-66.3421,303.8,268.096,68.2046
303.9,-43.8961,-66.3318,303.9,268.198,68.212
304,-43.813,-66.3216,304,268.299,68.2195
304.1,-43.7299,-66.3113,304.1,268.401,68.2269
304.2,-43.6467,-66.301,304.2,268.502,68.2341
304.3,-43.5637,-66.2908,304.3,268.602,68.2412
304.4,-43.4805,-66.2805,304.4,268.703,68.2489
304.5,-43.3974,-66.2702,304.5,268.803,68.2562
304.6,-43.3142,-66.26,304.6,268.903,68.2633
304.7,-43.2311,-66.2497,304.7,269.003,68.2704
304.8,-43.1479,-66.2395,304.8,269.103,68.2775
304.9,-43.0648,-66.2293,304.9,269.203,68.2849
305,-42.9816,-66.219,305,269.302,68.292
305.1,-42.8984,-66.2088,305.1,269.401,68.299
305.2,-42.8152,-66.1985,305.2,269.5,68.3066
305.3,-42.7321,-66.1883,305.3,269.598,68.3128
305.4,-42.6489,-66.1781,305.4,269.697,68.3191
305.5,-42.5657,-66.1678,305.5,269.795,68.3269
305.6,-42.4825,-66.1576,305.6,269.893,68.3326
305.7,-42.3992,-66.1474,305.7,269.991,68.3247
305.8,-42.316,-66.1372,305.8,-89.9114,68.3475
305.9,-42.2328,-66.127,305.9,-89.814,68.3556
306,-42.1495,-66.1167,306,-89.7168,68.3622
306.1,-42.0663,-66.1065,306.1,-89.6198,68.3691
306.2,-41.983,-66.0963,306.2,-89.523,68.3758
306.3,-41.8997,-66.0861,306.3,-89.4264,68.3826
306.4,-41.8164,-66.0759,306.4,-89.33,68.3896
306.5,-41.7331,-66.0657,306.5,-89.2338,68.3964
306.6,-41.6497,-66.0555,306.6,-89.1378,68.4033
306.7,-41.5664,-66.0453,306.7,-89.0421,68.4099
306.8,-41.4831,-66.0351,306.8,-88.9465,68.4168
306.9,-41.3997,-66.0249,306.9,-88.8511,68.4236
307,-41.3163,-66.0147,307,-88.756,68.4302
307.1,-41.233,-66.0045,307.1,-88.661,68.4369
307.2,-41.1495,-65.9943,307.2,-88.5662,68.4436
307.3,-41.0661,-65.9841,307.3,-88.4717,68.4503
307.4,-40.9827,-65.9739,307.4,-88.3773,68.457
307.5,-40.8992,-65.9637,307.5,-88.2831,68.4636
307.6,-40.8157,-65.9535,307.6,-88.1892,68.4702
307.7,-40.7322,-65.9433,307.7,-88.0954,68.4768
307.8,-40.6487,-65.9332,307.8,-88.0018,68.4834
307.9,-40.5652,-65.923,307.9,-87.9084,68.49
308,-40.4817,-65.9128,308,-87.8153,68.4965
308.1,-40.3981,-65.9026,308.1,-87.7222,68.503
308.2,-40.3145,-65.8924,308.2,-87.6294,68.5095
308.3,-40.231,-65.8822,308.3,-87.5368,68.5161
308.4,-40.1473,-65.8721,308.4,-87.4444,68.5226
308.5,-40.0637,-65.8619,308.5,-87.3522,68.529
308.6,-39.98,-65.8517,308.6,-87.2601,68.5355
308.7,-39.8963,-65.8416,308.7,-87.1683,68.5418
308.8,-39.8127,-65.8314,308.8,-87.0767,68.5483
308.9,-39.7289,-65.8212,308.9,-86.9852,68.5547
309,-39.6452,-65.8111,309,-86.8938,68.5611
309.1,-39.5614,-65.8009,309.1,-86.8027,68.5674
309.2,-39.4776,-65.7907,309.2,-86.7118,68.5738
309.3,-39.3938,-65.7806,309.3,-86.6211,68.5801
309.4,-39.31,-65.7704,309.4,-86.5305,68.5865
309.5,-39.2261,-65.7602,309.5,-86.4401,68.5928
309.6,-39.1422,-65.7501,309.6,-86.3499,68.5991
309.7,-39.0583,-65.7399,309.7,-86.2599,68.6054
309.8,-38.9744,-65.7298,309.8,-86.1701,68.6116
309.9,-38.8905,-65.7196,309.9,-86.0804,68.6179
310,-38.8065,-65.7095,310,-85.9909,68.6241
310.1,-38.7225,-65.6993,310.1,-85.9017,68.6303
310.2,-38.6385,-65.6892,310.2,-85.8125,68.6366
310.3,-38.5544,-65.679,310.3,-85.7236,68.6428
310.4,-38.4704,-65.6689,310.4,-85.6348,68.6489
310.5,-38.3863,-65.6587,310.5,-85.5461,68.6551
310.6,-38.3021,-65.6486,310.6,-85.4576,68.6613
310.7,-38.218,-65.6384,310.7,-85.3693,68.6674
310.8,-38.1338,-65.6283,310.8,-85.2812,68.6735
310.9,-38.0496,-65.6181,310.9,-85.1933,68.6797
311,-37.9654,-65.608,311,-85.1055,68.6858
311.1,-37.8811,-65.5978,311.1,-85.0178,68.6919
311.2,-37.7968,-65.5877,311.2,-84.9304,68.6979
311.3,-37.7125,-65.5776,311.3,-84.8431,68.704
311.4,-37.6282,-65.5674,311.4,-84.7559,68.7101
311.5,-37.5438,-65.5573,311.5,-84.6689,68.7162
311.6,-37.4594,-65.5472,311.6,-84.5821,68.7222
311.7,-37.3749,-65.537,311.7,-84.4954,68.7282
311.8,-37.2905,-65.5269,311.8,-84.4089,68.7342
311.9,-37.206,-65.5168,311.9,-84.3225,68.7402
312,-37.1215,-65.5066,312,-84.2363,68.7462
312.1,-37.0369,-65.4965,312.1,-84.1502,68.7522
312.2,-36.9524,-65.4864,312.2,-84.0643,68.7582
312.3,-36.8677,-65.4762,312.3,-83.9786,68.7641
312.4,-36.7831,-65.4661,312.4,-83.8929,68.7701
312.5,-36.6985,-65.456,312.5,-83.8074,68.776
312.6,-36.6137,-65.4458,312.6,-83.7221,68.782
312.7,-36.529,-65.4357,312.7,-83.6369,68.7879
312.8,-36.4442,-65.4256,312.8,-83.5518,68.7938
312.9,-36.3594,-65.4155,312.9,-83.4669,68.7997
313,-36.2746,-65.4053,313,-83.3821,68.8056
313.1,-36.1897,-65.3952,313.1,-83.2975,68.8115
313.2,-36.1049,-65.3851,313.2,-83.2129,68.8174
313.3,-36.02,-65.375,313.3,-83.1286,68.8232
313.4,-35.935,-65.3649,313.4,-83.0444,68.8291
313.5,-35.85,-65.3548,313.5,-82.9603,68.835
313.6,-35.765,-65.3446,313.6,-82.8763,68.8408
313.7,-35.6799,-65.3345,313.7,-82.7924,68.8466
313.8,-35.5948,-65.3244,313.8,-82.7087,68.8525
313.9,-35.5097,-65.3143,313.9,-82.6251,68.8583
314,-35.4246,-65.3042,314,-82.5416,68.8641
314.1,-35.3394,-65.2941,314.1,-82.4582,68.8699
314.2,-35.2542,-65.284,314.2,-82.375,68.8757
314.3,-35.1689,-65.2739,314.3,-82.2919,68.8815
314.4,-35.0836,-65.2638,314.4,-82.2088,68.8873
314.5,-34.9983,-65.2536,314.5,-82.1259,68.8931
314.6,-34.9129,-65.2435,314.6,-82.0432,68.8989
314.7,-34.8275,-65.2334,314.7,-81.9605,68.9046
314.8,-34.7421,-65.2233,314.8,-81.8779,68.9104
314.9,-34.6567,-65.2132,314.9,-81.7955,68.9161
315,-34.5712,-65.2031,315,-81.7132,68.9219
